"","Row","Column","Block","Population","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg"
"188",5,43,"2","36","3","4",1068.0288,"8/10/2020","8/19/2020","Sophie",NA,1078.16,10.1312
"189",5,44,"2","69","1","4",1063.1692,"8/10/2020","8/19/2020","Sophie",NA,1069.26,6.0908
"190",5,45,"2","64","1","2",1060.6573,"8/10/2020","8/19/2020","Sophie",NA,1065.17,4.5127
"191",6,1,"1","36","4","4",1069.659,"8/10/2020","8/19/2020","Sophie",NA,1076.42,6.761
"192",6,2,"1","61","4","5",1071.7294,"8/10/2020","8/19/2020","Sophie",NA,1079.52,7.7906
"193",6,3,"1","2","2","3",1071.3094,"8/10/2020","8/19/2020","Sophie",NA,1078.55,7.2406
"194",6,4,"1","27","3","3",1075.3562,"8/10/2020","8/19/2020","Sophie",NA,1079.98,4.6238
"195",6,5,"1","11","2","4",1058.2037,"8/10/2020","8/19/2020","Sophie",NA,1066.56,8.3563
"196",6,6,"1","12","1","4",1074.453,"8/10/2020","8/19/2020","Sophie",NA,1079.21,4.757
"197",6,7,"1","57","5","3",1064.278,"8/10/2020","8/19/2020","Sophie",NA,1071.92,7.642
"198",6,8,"1","7","5","3",1078.8004,"8/10/2020","8/19/2020","Sophie",NA,1083.76,4.9596
"199",6,9,"1","21","4","4",1068.2737,"8/10/2020","8/19/2020","Sophie",NA,1078.74,10.4663
"200",6,11,"1","40","5","5",1072.9577,"8/10/2020","8/19/2020","Sophie",NA,1082.41,9.4523
"201",6,12,"1","7","5","2",1085.2695,"8/10/2020","8/19/2020","Sophie",NA,1092.34,7.0705
"202",6,13,"1","46","5","1",1061.9698,"8/10/2020","8/19/2020","Sophie",NA,1067.18,5.2102
"203",6,14,"1","36","2","5",1056.4236,"8/10/2020","8/19/2020","Sophie",NA,1071.92,15.4964
"204",6,15,"1","26","1","2",1066.3726,"8/10/2020","8/19/2020","Sophie",NA,1073.2,6.8274
"205",6,16,"1","51","2","1",1067.6891,"8/10/2020","8/19/2020","Sophie",NA,1072.75,5.0609
"206",6,19,"1","19","5","2",1061.6323,"8/10/2020","8/19/2020","Sophie",NA,1066.84,5.2077
"207",6,20,"1","3","5","1",1076.9356,"8/10/2020","8/19/2020","Sophie",NA,1092.49,15.5544
"208",6,22,"1","79","4","1",1069.4109,"8/10/2020","8/19/2020","Sophie",NA,1075.64,6.2291
"209",6,23,"2","21","2","2",1084.8994,"8/10/2020","8/19/2020","Kavya",NA,1092.99,8.0906
"210",6,24,"2","77","4","5",1065.4794,"8/10/2020","8/19/2020","Kavya",NA,1075.04,9.5606
"211",6,25,"2","72","2","4",1067.0577,"8/10/2020","8/19/2020","Kavya",NA,1069.1,2.0423
"212",6,26,"2","1","1","3",1083.0006,"8/10/2020","8/19/2020","Kavya",NA,1098.23,15.2294
"213",6,27,"2","5","5","3",1065.9294,"8/10/2020","8/19/2020","Kavya",NA,1071.46,5.5306
"214",6,28,"2","36","1","1",1073.0394,"8/10/2020","8/19/2020","Kavya",NA,1076.51,3.4706
"215",6,29,"2","62","3","4",1082.0941,"8/10/2020","8/19/2020","Kavya",NA,1084.56,2.4659
"216",6,30,"2","12","5","4",1069.4973,"8/10/2020","8/19/2020","Kavya",NA,1075.47,5.9727
"217",6,31,"2","18","4","3",1077.4029,"8/10/2020","8/19/2020","Kavya",NA,1091.84,14.4371
"218",6,32,"2","18","2","1",1061.4597,"8/10/2020","8/19/2020","Kavya",NA,1065.75,4.2903
"219",6,33,"2","14","1","1",1065.7193,"8/10/2020","8/19/2020","Kavya",NA,1077.57,11.8507
"220",6,35,"2","1","3","4",1063.6059,"8/10/2020","8/19/2020","Kavya",NA,1073.51,9.9041
"221",6,36,"2","74","2","3",1070.2676,"8/10/2020","8/19/2020","Kavya",NA,1088.82,18.5524
"222",6,37,"2","17","3","2",1063.1366,"8/10/2020","8/19/2020","Kavya",NA,1064.68,1.5434
"223",6,38,"2","1","4","5",1068.7493,"8/10/2020","8/19/2020","Kavya",NA,1073.12,4.3707
"224",6,39,"2","62","4","1",1064.0657,"8/10/2020","8/19/2020","Kavya",NA,1075.94,11.8743
"225",6,40,"2","17","2","1",1081.6462,"8/10/2020","8/19/2020","Kavya",NA,1091.68,10.0338
"226",6,41,"2","42","1","2",1064.3314,"8/10/2020","8/19/2020","Kavya",NA,1076.37,12.0386
"227",6,43,"2","79","2","5",1080.2193,"8/10/2020","8/19/2020","Kavya",NA,1095.44,15.2207
"228",6,44,"2","17","5","2",1068.3377,"8/10/2020","8/19/2020","Kavya",NA,1073.37,5.0323
"229",6,45,"2","18","2","4",1078.7958,"8/10/2020","8/19/2020","Kavya",NA,1086.8,8.0042
"230",6,46,"2","7","4","3",1064.3448,"8/10/2020","8/19/2020","Kavya",NA,1071.95,7.6052
"231",7,1,"1","3","2","5",1059.6946,"8/10/2020","8/19/2020","Kavya",NA,1068.86,9.1654
"232",7,3,"1","7","1","3",1063.6822,"8/10/2020","8/19/2020","Kavya",NA,1072.53,8.8478
"233",7,4,"1","47","2","2",1062.8253,"8/10/2020","8/19/2020","Kavya",NA,1063.86,1.0347
"234",7,5,"1","62","1","5",1071.5721,"8/10/2020","8/19/2020","Kavya",NA,1073.53,1.9579
"235",7,7,"1","67","2","1",1072.7203,"8/10/2020","8/19/2020","Kavya",NA,1095.38,22.6597
"236",7,8,"1","5","5","4",1070.7685,"8/10/2020","8/19/2020","Kavya",NA,1083.73,12.9615
"237",7,9,"1","39","2","4",1061.6378,"8/10/2020","8/19/2020","Kavya",NA,1065.92,4.2822
"238",7,10,"1","79","3","4",1063.4439,"8/10/2020","8/19/2020","Kavya",NA,1082.29,18.8461
"239",7,11,"1","47","4","4",1072.5205,"8/10/2020","8/19/2020","Kavya",NA,1078.71,6.1895
"240",7,12,"1","4","4","2",1072.4595,"8/10/2020","8/19/2020","Kavya",NA,1077.47,5.0105
"241",7,13,"1","19","2","2",1064.0404,"8/10/2020","8/19/2020","Kavya",NA,1067.47,3.4296
"242",7,14,"1","46","5","5",1080.9949,"8/10/2020","8/19/2020","Kavya",NA,1092.33,11.3351
"243",7,15,"1","7","4","4",1064.0788,"8/10/2020","8/19/2020","Kavya",NA,1071.06,6.9812
"244",7,16,"1","68","1","5",1064.8046,"8/10/2020","8/19/2020","Kavya",NA,1073.94,9.1354
"245",7,17,"1","5","2","4",1067.2233,"8/10/2020","8/19/2020","Kavya",NA,1071.63,4.4067
"246",7,18,"1","5","3","2",1070.2562,"8/10/2020","8/19/2020","Kavya",NA,1077.39,7.1338
"247",7,19,"1","29","1","2",1066.5697,"8/10/2020","8/19/2020","Kavya",NA,1069.72,3.1503
