"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Filter_paper_and_tube_weight_mg","Date_paper_and_tube_measured","Date_latex_collected","Surveyor","Latex_not_collected","Latex_and_filter_paper_and_tube_weight_mg","Latex_weight_mg","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"89","MW005",5,9,44,2,2,3,1069.3168,"8/10/2020","8/18/2020","Sophie",NA,1072.99,3.6732,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"90","MW005",5,13,39,4,1,3,1065.2624,"8/11/2020","8/15/2020","Sophie",NA,1075.49,10.2276,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"91","MW005",5,10,42,4,4,4,1071.8967,"8/11/2020","8/18/2020","Sophie",NA,1080.47,8.5733,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"92","MW005",5,17,29,4,5,1,1058.2905,"8/12/2020","8/14/2020","Sophie",NA,NA,-1058.2905,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"93","MW005",5,7,18,1,3,2,1070.2562,"8/10/2020","8/19/2020","Kavya",NA,1077.39,7.1338,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"94","MW005",5,18,32,4,3,3,1065.9028,"8/12/2020","8/14/2020","Sophie",NA,NA,-1065.9028,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"95","MW005",5,10,34,2,5,2,1068.935,"8/10/2020","8/18/2020","Sophie",NA,1079.89,10.955,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"96","MW005",5,7,8,1,5,4,1070.7685,"8/10/2020","8/19/2020","Kavya",NA,1083.73,12.9615,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"97","MW005",5,7,17,1,2,4,1067.2233,"8/10/2020","8/19/2020","Kavya",NA,1071.63,4.4067,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"98","MW005",5,16,17,3,4,5,1058.1576,"8/11/2020","8/15/2020","Sophie",NA,1062.48,4.3224,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"99","MW005",5,15,37,4,1,1,1066.4462,"8/11/2020","8/15/2020","Sophie",NA,1084,17.5538,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"100","MW005",5,1,29,2,2,2,1062.2902,"8/10/2020","8/21/2020","Sophie",NA,1073.6,11.3098,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"101","MW005",5,14,45,4,1,5,1064.2894,"8/11/2020","8/15/2020","Sophie",NA,1074.95,10.6606,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"102","MW005",5,10,24,2,3,5,1086.6935,"8/10/2020","8/18/2020","Sophie",NA,1088.88,2.1865,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"103","MW005",5,20,19,3,3,1,1070.5516,"8/12/2020","8/13/2020","Sophie",NA,1078.18,7.6284,"AS010",43.493329,-79.747541,"Rural",34691.9910922074,34.6919910922074,"Rural",-2.80108
"104","MW006",6,18,27,4,3,2,1073.3621,"8/12/2020","8/14/2020","Sophie",NA,NA,-1073.3621,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"105","MW006",6,19,23,3,1,4,1066.589,"8/12/2020","8/14/2020","Sophie",NA,NA,-1066.589,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"106","MW006",6,13,35,4,5,3,1065.0424,"8/11/2020","8/15/2020","Sophie",NA,1067.61,2.5676,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"107","MW006",6,2,38,2,1,3,1083.067,"8/10/2020","8/21/2020","Sophie",NA,1093.55,10.483,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"108","MW006",6,12,27,4,1,2,1060.6749,"8/11/2020","8/17/2020","Sophie",NA,1066.75,6.0751,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"109","MW006",6,21,30,4,4,1,1064.354,"8/12/2020","8/13/2020","Sophie",NA,1071.77,7.416,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"110","MW006",6,4,31,2,3,1,1071.1651,"8/10/2020","8/19/2020","Sophie",NA,1075.99,4.8249,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"111","MW006",6,1,46,2,2,4,1069.7652,"8/10/2020","8/21/2020","Sophie",NA,1073.75,3.9848,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"112","MW006",6,20,17,3,1,5,1069.9579,"8/12/2020","8/13/2020","Sophie",NA,1072.12,2.1621,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"113","MW006",6,5,30,2,5,4,1064.6925,"8/10/2020","8/19/2020","Sophie",NA,1069.99,5.2975,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"114","MW006",6,2,18,1,4,2,1065.5784,"8/10/2020","8/21/2020","Sophie",NA,1076.4,10.8216,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"115","MW006",6,2,2,1,2,5,1060.3429,"8/10/2020","8/21/2020","Sophie",NA,1063.09,2.7471,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"116","MW006",6,21,22,3,5,1,1071.3634,"8/12/2020","8/13/2020","Sophie",NA,1075.09,3.7266,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"117","MW006",6,14,27,4,5,2,1078.4333,"8/11/2020","8/15/2020","Sophie",NA,1086.67,8.2367,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"118","MW006",6,9,37,2,4,4,1081.9331,"8/10/2020","8/18/2020","Sophie",NA,1086.3,4.3669,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"119","MW006",6,8,27,2,3,5,1081.3529,"8/10/2020","8/18/2020","Sophie",NA,1096.15,14.7971,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"120","MW006",6,19,17,3,3,3,1084.0315,"8/12/2020","8/14/2020","Sophie",NA,NA,-1084.0315,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"121","MW006",6,17,1,3,4,3,1063.2988,"8/12/2020","8/15/2020","Sophie",NA,1064.45,1.1512,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"122","MW006",6,12,23,1,1,1,1074.9188,"8/11/2020","8/17/2020","Sophie",NA,1079.58,4.6612,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062
"123","MW007",7,7,24,2,2,3,1066.7465,"8/10/2020","8/19/2020","Kavya",NA,1069.31,2.5635,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"124","MW007",7,9,28,2,3,5,1061.9013,"8/10/2020","8/18/2020","Sophie",NA,1072.75,10.8487,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"125","MW007",7,1,19,1,2,2,1066.6106,"8/10/2020","8/21/2020","Sophie",NA,1081.06,14.4494,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"126","MW007",7,16,16,3,5,4,1062.2455,"8/11/2020","8/15/2020","Sophie",NA,1068.6,6.3545,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
"127","MW007",7,8,28,2,1,2,1062.4979,"8/10/2020","8/18/2020","Sophie",NA,1067.92,5.4221,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825
