"","Pop_ID","Population","Row","Column","Block","Family","Replicate","Comment","Date","Dead","Leaf_not_coll","Date_weighed_Soaked","Leaf_weight_g_Soaked","Photographed","Date_processed_ImageJ","Area_mm_sq","Length_mm","Width_mm","Len_div_wid","Comment.1","Dates_dried","Date_weighed_dried","Leaf_weight_g_Dried","Weighed_by","SLA","LDMC","X","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score"
"41","MW002",2,21,4,3,1,4,NA,NA,0,NA,"8/8/2020",0.6003,"yes",20201022,2688.637,101.31,37.06,2.7337,"the leaf had noticeable herbivory","5/22/21-5/24/21","5/28/2021",0.0756,"Olivia",35.56398148,0.125937032,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"42","MW002",2,20,34,4,5,2,NA,NA,0,NA,"8/8/2020",1.0239,"yes",20201021,3612.202,113.61,43.39,2.6183,"","5/26/21-5/28/21","5/31/2021",0.1163,"Olivia ",31.05934652,0.113585311,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"43","MW002",2,16,41,4,4,1,NA,NA,0,NA,"8/8/2020",3.9802,"yes",20201011,11927.766,207.41,75.36,2.7523,"folded","5/22/21-5/24/21","5/28/2021",0.6722,"Olivia",17.74437072,0.168885986,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"44","MW002",2,3,10,1,5,3,NA,NA,0,NA,"8/6/2020",0.1021,"yes",20200910,354.018,44.7,10.87,4.1122,"","6/1/21-6/3/21","6/3/2021",0.0212,"Olivia",16.69896226,0.207639569,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"45","MW002",2,14,31,4,1,3,NA,NA,0,NA,"8/7/2020",0.4661,"yes",20201007,1543.202,80.25,28.28,2.8377,"","5/15/21-5/17/21","5/25/2021",0.0552,"Samer",27.95655797,0.118429522,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"46","MW002",2,6,3,1,2,3,NA,NA,0,NA,"8/6/2020",0.7018,"yes",20200917,1980.759,108.82,24.01,4.5323,"","5/22/21-5/24/21","5/31/2021",0.1375,"Olivia ",14.40552,0.195924765,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"47","MW002",2,16,24,3,3,2,NA,NA,0,NA,"8/8/2020",0.5273,"yes",20201011,1561.439,84.1,25.58,3.2877,"","5/22/21-5/24/21","5/28/2021",0.0517,"Olivia",30.20191489,0.098046653,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"48","MW002",2,11,20,1,4,5,NA,NA,0,NA,"8/7/2020",2.2861,"yes",20200929,5032.66,132.69,50.53,2.626,"","5/22/21-5/24/21","5/28/2021",0.3452,"Olivia",14.57896871,0.150999519,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"49","MW002",2,20,1,3,3,4,NA,NA,0,NA,"8/8/2020",1.4499,"yes",20201019,4584.558,130.14,50.07,2.5992,"","5/26/21-5/28/21","5/31/2021",0.1828,"Olivia ",25.07963895,0.126077661,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"50","MW002",2,2,28,2,5,5,NA,NA,0,NA,"8/6/2020",0.6405,"yes",20200910,2595.046,89.35,40.58,2.2018,"","6/1/21-6/3/21","6/3/2021",0.1093,"Olivia",23.74241537,0.170647931,2,"AS002",43.550225,-79.654062,"South",24987.050922191,24.987050922191,"Urban",0.0619652
"51","MW003",3,5,23,2,4,3,NA,NA,0,NA,"8/6/2020",0.3123,"yes",20200916,1355.624,77.38,24,3.2242,"","6/1/21-6/3/21","6/3/2021",0.0843,"Olivia",16.08094899,0.269932757,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
"52","MW003",3,17,7,3,4,5,NA,NA,0,NA,"8/8/2020",3.0819,"yes",20201011,10828.336,179.23,81.47,2.2,"","5/15/21-5/17/21","5/18/2021",0.5379,"Olivia",20.13076036,0.174535189,3,"AS003",43.565106,-79.671002,"South",25491.7782859607,25.4917782859607,"Urban",-0.5488855
