1,2,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,3,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,4,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,5,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,6,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,7,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,8,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,9,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,10,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,11,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
1,12,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT,NO PLANT
3,4,1,9,2,2,0,1062.7788,8/10/2020,8/21/2020,Sophie,,1068.39,5.6112
3,5,1,13,5,5,0,1068.7317,8/10/2020,8/21/2020,Sophie,,1091.2,22.4683
3,6,1,1,1,2,0,1072.7968,8/10/2020,8/21/2020,Sophie,,1081.85,9.0532
3,7,1,68,3,5,0,1064.1425,8/10/2020,8/21/2020,Sophie,,1072.65,8.5075
3,8,1,15,4,1,0,1064.3933,8/10/2020,8/21/2020,Sophie,,1070.59,6.1967
3,9,1,4,3,5,0,1067.9006,8/10/2020,8/21/2020,Sophie,1,NA,NA
3,10,1,2,5,3,0,1074.728,8/10/2020,8/21/2020,Sophie,1,NA,NA
3,11,1,49,3,4,0,1060.1002,8/10/2020,8/21/2020,Sophie,,1064.91,4.8098
3,12,1,15,2,4,0,1082.4112,8/10/2020,8/21/2020,Sophie,,1090.49,8.0788
3,13,1,39,2,2,0,1067.1947,8/10/2020,8/21/2020,Sophie,,1073.28,6.0853
3,14,1,2,2,5,0,1069.0904,8/10/2020,8/21/2020,Sophie,,1076.76,7.6696
3,15,1,64,3,2,0,1083.4011,8/10/2020,8/21/2020,Sophie,,1087.38,3.9789
3,16,1,31,2,2,0,1061.3345,8/10/2020,8/21/2020,Sophie,,1070.93,9.5955
3,17,1,8,2,5,0,1062.9404,8/10/2020,8/21/2020,Sophie,,1074.19,11.2496
3,18,1,17,1,1,0,1067.0136,8/10/2020,8/21/2020,Sophie,,1078.84,11.8264
3,19,1,18,1,4,0,1062.0819,8/10/2020,8/21/2020,Sophie,,1077.01,14.9281
3,20,1,36,2,2,0,1079.2751,8/10/2020,8/21/2020,Sophie,,1083.4,4.1249
3,21,1,7,3,1,0,1080.5774,8/10/2020,8/21/2020,Sophie,,1087.59,7.0126
3,22,1,69,2,1,0,1067.5235,8/10/2020,8/21/2020,Sophie,,1076.05,8.5265
