x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.24,2014-02-24 00:00:00,ON,2014,2,24,-6.6,,-8.8,,-4.3,,0,,,M,,M,16,,,M,,M,0,,24.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.25,2014-02-25 00:00:00,ON,2014,2,25,-7.8,,-10.4,,-5.2,,0,,,M,,M,16,,,M,,M,0,,25.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.26,2014-02-26 00:00:00,ON,2014,2,26,-11.2,,-14.2,,-8.2,,0,,,M,,M,15,,,M,,M,0,,29.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.27,2014-02-27 00:00:00,ON,2014,2,27,-12.2,,-16,,-8.3,,0.3,,,M,,M,15,,,M,,M,0,,30.2,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.2.28,2014-02-28 00:00:00,ON,2014,2,28,-12.3,,-17.7,,-6.9,,0,,,M,,M,15,,,M,,M,0,,30.3,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.1,2014-03-01 00:00:00,ON,2014,3,1,-5.5,,-10.2,,-0.7,,3.2,,,M,,M,15,,,M,,M,0,,23.5,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.2,2014-03-02 00:00:00,ON,2014,3,2,-12,,-15.5,,-8.5,,1.5,,,M,,M,21,,,M,,M,0,,30,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.3,2014-03-03 00:00:00,ON,2014,3,3,-14.7,,-18.4,,-10.9,,0.2,,,M,,M,20,,,M,,M,0,,32.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.4,2014-03-04 00:00:00,ON,2014,3,4,-11.9,,-15.6,,-8.1,,0.6,,,M,,M,20,,,M,,M,0,,29.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.5,2014-03-05 00:00:00,ON,2014,3,5,-7.6,,-10.5,,-4.7,,0.2,,,M,,M,20,,,M,,M,0,,25.6,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.6,2014-03-06 00:00:00,ON,2014,3,6,-5.8,,-8.6,,-2.9,,0,,,M,,M,20,,,M,,M,0,,23.8,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.7,2014-03-07 00:00:00,ON,2014,3,7,-1,,-4.9,,2.9,,0.3,,,M,,M,19,,,M,,M,0,,19,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.8,2014-03-08 00:00:00,ON,2014,3,8,-1.7,,-6.2,,2.8,,0,,,M,,M,16,,,M,,M,0,,19.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.9,2014-03-09 00:00:00,ON,2014,3,9,-3.9,,-9.2,,1.4,,0,,,M,,M,16,,,M,,M,0,,21.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.10,2014-03-10 00:00:00,ON,2014,3,10,4.1,,1.2,,6.9,,0,,,M,,M,16,,,M,,M,0,,13.9,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.11,2014-03-11 00:00:00,ON,2014,3,11,7.3,,3.9,,10.6,,0,,,M,,M,13,,,M,,M,0,,10.7,,,,,
-79.4,43.666666666666664,TORONTO CITY,6158355,6158355.2014.3.12,2014-03-12 00:00:00,ON,2014,3,12,-4.6,,-14,,4.9,,11.8,,,M,,M,9,,,M,,M,0,,22.6,,,,,
