"","Population","Row","Column","Block","Family","Replicate","Comment","Flowered","Patch_ID","Latitude","Longitude","Transect_ID","CTD_m","City_dist","Urb_Rur","Urb_score","Pop_ID"
"119",6,20,17,3,1,5,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"120",6,11,40,4,3,4,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"121",6,4,31,2,3,1,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"122",6,18,27,4,3,2,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"123",6,17,1,3,4,3,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"124",6,2,2,1,2,5,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"125",6,14,27,4,5,2,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"126",6,9,37,2,4,4,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"127",6,6,18,1,2,1,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"128",6,19,23,3,1,4,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"129",6,12,27,4,1,2,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"130",6,7,2,1,2,3,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"131",6,1,46,2,2,4,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"132",6,4,12,1,4,5,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"133",6,12,23,1,1,1,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"134",6,21,22,3,5,1,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"135",6,8,27,2,3,5,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"136",6,2,38,2,1,3,NA,0,"AS014",43.438669,-79.780878,"Rural",40355.1125073074,40.3551125073074,"Rural",-0.431062,NA
"137",7,19,30,4,2,1,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"138",7,16,16,3,5,4,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"139",7,10,7,1,3,4,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"140",7,21,34,4,1,4,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"141",7,6,46,2,4,3,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"142",7,15,22,3,4,1,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"143",7,7,24,2,2,3,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"144",7,18,19,3,4,5,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"145",7,7,15,1,4,4,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"146",7,1,39,2,4,2,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"147",7,4,36,2,5,5,NA,1,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"148",7,1,19,1,2,2,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"149",7,9,28,2,3,5,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"150",7,7,3,1,1,3,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"151",7,12,1,3,1,1,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"152",7,8,28,2,1,2,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"153",7,8,9,1,3,2,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"154",7,9,20,1,3,3,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"155",7,17,37,4,2,5,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"156",7,6,12,1,5,2,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"157",7,14,8,3,1,5,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"158",7,6,8,1,5,3,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"159",7,3,21,1,3,1,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"160",7,13,30,4,5,1,NA,0,"AS017",43.434493,-79.904435,"Rural",48930.8160490192,48.9308160490192,"Rural",-3.0900825,NA
"161",8,21,7,3,2,4,NA,0,"AS021",43.457451,-79.866815,"Rural",45019.0640911002,45.0190640911002,"Rural",-1.67951,NA
"162",8,21,2,3,3,1,NA,0,"AS021",43.457451,-79.866815,"Rural",45019.0640911002,45.0190640911002,"Rural",-1.67951,NA
