Pop_ID,Population,Row,Column,Block,Family,Replicate,Comment,Flower_count_I1,Hood_L.I1F1,Hood_W.I1F1,Corolla_L.I1F1,Corolla_W.I1F1,Flower_L.I1F1,Flower_W.I1F1,Poll_rem.I1F1,Hood_L.I1F2,Hood_W.I1F2,Corolla_L.I1F2,Corolla_W.I1F2,Flower_L.I1F2,Flower_W.I1F2,Poll_rem.I1F2,Hood_L.I1F3,Hood_W.I1F3,Corolla_L.I1F3,Corolla_W.I1F3,Flower_L.I1F3,Flower_W.I1F3,Poll_rem.I1F3,Flower_count_I2,Hood_L.I2F1,Hood_W.I2F1,Corolla_L.I2F1,Corolla_W.I2F1,Flower_L.I2F1,Flower_W.I2F1,Poll_rem.I2F1,Hood_L.I2F2,Hood_W.I2F2,Corolla_L.I2F2,Corolla_W.I2F2,Flower_L.I2F2,Flower_W.I2F2,Poll_rem.I2F2,Hood_L.I2F3,Hood_W.I2F3,Corolla_L.I2F3,Corolla_W.I2F3,Flower_L.I2F3,Flower_W.I2F3,Poll_rem.I2F3,Flower_count_I3,Hood_L.I3F1,Hood_W.I3F1,Corolla_L.I3F1,Corolla_W.I3F1,Flower_L.I3F1,Flower_W.I3F1,Poll_rem.I3F1,Hood_L.I3F2,Hood_W.I3F2,Corolla_L.I3F2,Corolla_W.I3F2,Flower_L.I3F2,Flower_W.I3F2,Poll_rem.I3F2,Hood_L.I3F3,Hood_W.I3F3,Corolla_L.I3F3,Corolla_W.I3F3,Flower_L.I3F3,Flower_W.I3F3,Poll_rem.I3F3
MW018,18,16,33,4,2,5,NA,2,4.36,2.27,6.49,4.08,6.63,6.4,0,3.63,2.2,6.38,4.11,7.37,7.09,0,NA,NA,NA,NA,NA,NA,NA,29,4.41,2.5,7.85,4.43,9.06,9.66,1,4.72,2.54,7.74,4.38,9.6,9.45,1,4.4,2.49,8.36,4.67,9.23,9.55,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW019,19,14,29,4,1,2,NA,8,4.31,2.41,6.9,4.27,8.41,8.74,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,3.93,2.04,8.04,3.43,8.64,8.48,2,4.66,2.17,8.45,4.05,8.73,8.75,2,4.05,1.92,7.65,3.38,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW019,19,6,19,1,5,2,NA,29,3.35,2.37,8.82,4.56,8.71,8.78,1,3.23,2.14,8.51,4.37,8.31,8.82,1,3.28,2.09,6.88,4.07,7.35,7.48,0,21,3.67,2.65,8.23,4.34,8.28,8.6,2,3.1,2.62,8.83,4.3,8.72,8.83,2,4.03,2.67,7.54,4.47,7.38,6.93,1,10,4.14,2.47,8.88,4.22,8.85,8.91,5,3.63,2.45,6.65,3.53,8.53,8.76,2,3.4,2.25,8.07,4.11,8.81,8.59,4
MW019,19,7,39,2,5,3,2nd inflor very eaten,19,4.9,2.46,7.83,4.21,9.08,9.04,2,4.66,2.71,8.11,4.6,9.06,9.21,5,5.01,2.52,8.42,4.94,9.33,9.53,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW020,20,15,43,4,5,2,NA,10,4.32,2.35,7.97,3.6,7.66,7.74,1,3.72,2.32,7.82,3.88,7.66,7.2,2,3.42,2.25,7.05,3.57,6.93,7.17,0,13,4.13,2.19,6.79,3.59,7.69,7.89,2,4.11,2.31,7.14,3.66,7.88,7.97,1,3.96,2.29,6.35,3.46,7.54,8.03,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW021,21,8,33,2,1,2,NA,20,3.9,2.44,6.28,3.61,7.13,7.14,1,3.99,2.39,6.18,3.35,7.02,6.98,1,4.09,2.39,6.47,3.75,7.43,7.43,2,25,4.7,2.43,7.23,3.72,7.35,7.58,3,4.28,2.54,7.53,3.61,7.35,7.53,3,4.34,2.74,7.06,3.64,7.91,7.46,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MW021,21,14,7,3,1,4,NA,36,4.03,2.85,7.18,4.11,8.34,8.2,2,4.14,2.51,6.76,3.74,8.3,8.08,1,3.4,2.52,7.41,3.77,8.31,8.32,3,31,4.77,2.57,7.06,3.6,9.57,9.84,3,4.54,2.5,7.44,4.12,8.71,9.02,5,4.44,2.36,6.66,3.8,7.98,8.08,3,28,5,2.66,6.83,3.67,8.53,8.62,3,4.91,2.59,7.06,3.93,8.52,8.91,4,4.43,2.56,7.65,3.86,8.48,8.71,3
MW021,21,18,30,4,1,5,NA,18,5.24,2.5,7.63,3.75,7.24,6.82,3,4.95,2.8,7.77,3.83,7.23,6.96,1,5.09,2.67,7.61,3.56,6.98,6.8,3,32,5.06,2.5,8.07,4.03,6.75,6.85,3,5.49,2.46,6.73,3.76,7.31,7.1,4,5.09,2.46,7.79,3.38,6.51,6.5,1,33,4.17,2.4,6,3.75,6.6,7.08,1,5.07,2.41,6.88,3.57,6.83,6.43,3,4.84,2.41,6.64,3.9,7.17,7.11,2
MW021,21,4,6,1,2,3,NA,48,5.15,2.55,8.31,3.76,8.38,8.42,1,4.7,2.71,7.87,3.82,8.16,8.28,4,5.04,2.52,6.98,3.08,8.21,7.72,2,58,4.82,2.71,7.94,3.49,8.07,8.19,2,5.16,2.47,8.14,3.33,7.26,7.4,1,5.4,2.85,8.44,3.97,8.31,8.29,0,41,4.37,2.44,7.41,3.26,8.26,7.85,1,5.58,2.79,8.11,3.13,8.17,8.18,3,5.23,2.78,7.98,3.61,7.99,8.3,2
MW021,21,4,1,1,4,1,inflor eaten before quantified,7,3.8,2.25,7.01,3.67,7.28,6.44,0,3.32,1.97,6.41,3.65,7.11,6.86,1,3.3,1.7,6,3.24,6.35,6.43,1,1,4.51,2.3,6.56,4.13,6.41,6.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
